epoch,train_loss,val_loss,lr,time_s,del
276,2.944870e-06,5.345688e-06,1.634087e-06,125.4,-1.282610e-07
277,2.953142e-06,5.268550e-06,1.502229e-06,125.6,-5.112260e-08
278,2.943882e-06,5.274560e-06,1.375873e-06,125.7,-5.713338e-08
279,2.924316e-06,5.333810e-06,1.255031e-06,125.6,-1.163826e-07
280,2.919661e-06,5.401548e-06,1.139718e-06,125.7,-1.841215e-07
281,2.890941e-06,5.329686e-06,1.029946e-06,125.7,-1.122588e-07
282,2.881481e-06,5.155718e-06,9.257292e-07,125.7,6.170918e-08
283,2.845193e-06,5.256948e-06,8.270782e-07,128.1,-1.012307e-07
284,2.857150e-06,5.182942e-06,7.340045e-07,125.5,-2.722459e-08
285,2.839331e-06,5.150075e-06,6.465186e-07,125.5,5.642593e-09
286,2.820636e-06,5.209809e-06,5.646305e-07,128.7,-5.973409e-08
287,2.824294e-06,5.199455e-06,4.883494e-07,125.6,-4.937955e-08
288,2.833696e-06,5.217323e-06,4.176840e-07,125.5,-6.724768e-08
289,2.805060e-06,5.242863e-06,3.526423e-07,125.6,-9.278788e-08
290,2.804836e-06,5.140138e-06,2.932317e-07,125.6,9.936961e-09
291,2.809095e-06,5.123373e-06,2.394589e-07,128.8,1.676488e-08
292,2.797024e-06,5.178277e-06,1.913300e-07,128.1,-5.490328e-08
293,2.781304e-06,5.164862e-06,1.488504e-07,125.4,-4.148917e-08
294,2.788310e-06,5.135168e-06,1.120251e-07,125.7,-1.179456e-08
295,2.787350e-06,5.183465e-06,8.085813e-08,125.7,-6.009130e-08
296,2.788293e-06,5.095273e-06,5.535306e-08,125.7,2.810069e-08
297,2.790672e-06,5.099308e-06,3.551278e-08,128.1,-4.034957e-09
298,2.775691e-06,5.104397e-06,2.133955e-08,125.4,-9.124852e-09
299,2.756912e-06,5.099942e-06,1.283497e-08,125.8,-4.669263e-09
300,2.759429e-06,5.097470e-06,1.000000e-08,125.8,-2.197762e-09
